id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
2084628750038122551,2084628750038122551,"Open source is essential infrastructure for science, education and organizations addressing some of the world’s most consequential challenges. By providing Lightwell at no cost, @IBM and @RedHat are helping these institutions secure the software behind work that creates broad https://t.co/6nq0Yo6kBF",,,,,,2026-08-04T13:13:19,,142,9,32,,IBM RedHat,2026-08-04 13:13:19,False,0,True,,,,,,,,,,,,,,,,,,,,
2064653837697200345,2064653837697200345,"Congratulations to the Indian Prime Minister @narendramodi who has become Independent India's longest serving elected leader, surpassing Nehru's tenure! This period has brought unprecedented economic growth, propelling India's GDP and creating an environment where entrepreneurs",,,,,,2026-06-10T10:20:08,,1011,65,93,,narendramodi,2026-06-10 10:20:08,False,0,True,,,,,,,,,,,,,,,,,,,,
2057413327425286281,2057413327425286281,"With support from the @CommerceGov, @IBM today announced plans for Anderon, America’s first purpose-built quantum chip foundry. Leveraging IBM’s decades-long quantum leadership and strengths in wafer fabrication, the initiative will accelerate American quantum innovation and https://t.co/gLb1v8OddD",,,,,,2026-05-21T10:48:56,,172,29,44,,CommerceGov IBM,2026-05-21 10:48:56,False,0,True,,,,,,,,,,,,,,,,,,,,
2053775602335789264,2053775602335789264,"If you were unable to attend the #Think2026 keynote or are limited on time, this video summary outlines the key themes, major announcements, and core takeaways, and provides perspective on how @IBM is approaching “day zero” of the AI revolution. https://t.co/akNqYJg7W0",,,,,,2026-05-11T09:53:55,,126,44,26,Think2026,IBM,2026-05-11 09:53:55,False,0,True,,,,,,,,,,,,,,,,,,,,
2045220803692593191,2045220803692593191,"I enjoyed the conversation with @PennyPritzker, @AndrewEdgeclif1, and the @Semafor team for The CEO Signal. We talked leadership, long‑term bets, and how meaningful progress comes from tackling the biggest challenges head‑on. Thank you for the thoughtful exchange and the",,,,,,2026-04-17T19:20:12,,38,24,4,,PennyPritzker AndrewEdgeclif1 Semafor,2026-04-17 19:20:12,False,0,True,,,,,,,,,,,,,,,,,,,,
2028465213607931992,2028465213607931992,"I was proud to inaugurate the AI GovTech Centre with leaders from the state of Uttar Pradesh in Lucknow, reflecting our commitment to India’s tech growth and AI advancements. Grateful to our government collaborators, academic partners, and dedicated @IBM teams whose dedication https://t.co/HwkoMN8Qvq",,,,,,2026-03-02T13:39:28,,57,28,36,,IBM,2026-03-02 13:39:28,False,0,True,,,,,,,,,,,,,,,,,,,,
2021953092712063037,2021953092712063037,"Thank you, @WorldGovSummit for having me for a timely discussion with Borje Ekholm about the growing role of technology as a central pillar of national sovereignty, economic growth, and global cooperation. Watch here: https://t.co/vd8EUATa8o #WGS2026 https://t.co/QlEl48wwUc",,,,,,2026-02-12T14:22:38,,34,8,27,WGS2026,WorldGovSummit,2026-02-12 14:22:38,False,0,True,,,,,,,,,,,,,,,,,,,,
2015411419131294040,2015411419131294040,"Thank you, John Martinis, @ITUSecGen, @jennschenkerand Lene B. Oddershede for a timely discussion about quantum computing during the 2026 @wef. Watch the replay: https://t.co/OS6KXHQ8Id #WEF26 https://t.co/bysleRozPU",,,,,,2026-01-25T13:08:21,,33,4,25,WEF26,ITUSecGen jennschenkerand wef,2026-01-25 13:08:21,False,0,True,,,,,,,,,,,,,,,,,,,,
1999209028719685736,1999209028719685736,RT @verge: Why IBM CEO Arvind Krishna is still hiring humans in the AI era https://t.co/AmBEAx8j5A,,,,,,2025-12-11T20:05:50,,0,0,28,,verge,2025-12-11 20:05:50,False,0,True,,,,,,,,,,,,,,,,,,,,
1998019202792436151,1998019202792436151,"Today, we are announcing that we have entered into a definitive agreement to acquire @confluentinc. This is a decisive step that accelerates our hybrid cloud and AI strategy. Learn more: https://t.co/iDGA9WeuDW https://t.co/Kcm1fR2VDt",,,,,,2025-12-08T13:17:54,,445,38,73,,confluentinc,2025-12-08 13:17:54,False,0,True,,,,,,,,,,,,,,,,,,,,
