id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
2064781782877458612,2064781782877458612,"Alongside it, Anthropic is releasing a proposal for how governments can address the risks posed by frontier AI and a policy framework for job displacement, for which we intend to provide substantial financial backing. https://t.co/P0W2lIKbdY",,,,,,2026-06-10T18:48:33,,771,90,69,,,2026-06-10 18:48:33,False,0,True,,,,,,,,,,,,,,,,,,,,
2064781785033244851,2064781785033244851,"Many of these policy ideas have common-sense appeal across the political spectrum, and the sooner we act on them, the sooner everyone shares in AI's benefits.",,,,,,2026-06-10T18:48:33,,645,145,25,,,2026-06-10 18:48:33,False,0,True,,,,,,,,,,,,,,,,,,,,
2064781778599268818,2064781778599268818,"In addition to transparency, I now believe frontier models should face mandatory third-party testing for cyber, bio, and autonomy risks—with the power to block or revoke deployment of models that pose catastrophic risk.",,,,,,2026-06-10T18:48:32,,1096,216,74,,,2026-06-10 18:48:32,False,0,True,,,,,,,,,,,,,,,,,,,,
2064781776904663043,2064781776904663043,"Anthropic has long advocated for transparency requirements for frontier AI, because the risks weren't yet clear enough to regulate precisely. That is no longer sufficient.",,,,,,2026-06-10T18:48:32,,814,64,42,,,2026-06-10 18:48:32,False,0,True,,,,,,,,,,,,,,,,,,,,
2064781775247950326,2064781775247950326,"Today I'm publishing a new essay, Policy on the AI Exponential. AI is progressing extremely fast—much faster than the policy process was built to handle. The essay lays out where I think the technology is now, and the action needed to close the gap: https://t.co/Lh6PWae178",,,,,,2026-06-10T18:48:31,,13940,1568,2503,,,2026-06-10 18:48:31,False,0,True,,,,,,,,,,,,,,,,,,,,
2041580343472337145,2041580343472337145,"Cyber is the first clear and present danger from frontier AI models, but it won’t be the last. If we are able to collectively rise to the challenge and confront this risk, it could serve as a blueprint for addressing the even more difficult challenges that lie ahead of us.",,,,,,2026-04-07T18:14:19,,984,111,59,,,2026-04-07 18:14:19,False,0,True,,,,,,,,,,,,,,,,,,,,
2041580341794615631,2041580341794615631,"The dangers of getting this wrong are obvious, but if we get it right, there is a real opportunity to create a fundamentally more secure internet and world than we had before the advent of AI-powered cyber capabilities.",,,,,,2026-04-07T18:14:18,,1199,124,81,,,2026-04-07 18:14:18,False,0,True,,,,,,,,,,,,,,,,,,,,
2041580334693720511,2041580334693720511,I’m proud that so many of the world’s leading companies have joined us for Project Glasswing to confront the cyber threat posed by increasingly capable AI systems head-on. https://t.co/pn3HSVsThP,,,,,,2026-04-07T18:14:17,,12373,668,676,,,2026-04-07 18:14:17,False,0,True,,,,,,,,,,,,,,,,,,,,
2029720168780169546,2029720168780169546,RT @AnthropicAI: A statement from Anthropic CEO Dario Amodei: https://t.co/WnSFrwI9nI,,,,,,2026-03-06T00:46:13,,0,0,711,,AnthropicAI,2026-03-06 00:46:13,False,0,True,,,,,,,,,,,,,,,,,,,,
2027152488659394660,2027152488659394660,"RT @AnthropicAI: A statement from Anthropic CEO, Dario Amodei, on our discussions with the Department of War. https://t.co/rM77LJejuk",,,,,,2026-02-26T22:43:10,,0,0,9082,,AnthropicAI,2026-02-26 22:43:10,False,0,True,,,,,,,,,,,,,,,,,,,,
2015833051205414955,2015833051205414955,"I've been working on this essay for a while, and it is mainly about AI and about the future. But given the horror we're seeing in Minnesota, its emphasis on the importance of preserving democratic values and rights at home is particularly relevant.",,,,,,2026-01-26T17:03:46,,6622,293,410,,,2026-01-26 17:03:46,False,0,True,,,,,,,,,,,,,,,,,,,,
2015833046327402527,2015833046327402527,"The Adolescence of Technology: an essay on the risks posed by powerful AI to national security, economies and democracy—and how we can defend against them: https://t.co/0phIiJjrmz",,,,,,2026-01-26T17:03:45,,15328,878,2642,,,2026-01-26 17:03:45,False,0,True,,,,,,,,,,,,,,,,,,,,
2015833048785248440,2015833048785248440,"It's a companion to Machines of Loving Grace, an essay I wrote over a year ago, which focused on what powerful AI could achieve if we get it right: https://t.co/TDKfXIPw15",,,,,,2026-01-26T17:03:45,,2421,156,229,,,2026-01-26 17:03:45,False,0,True,,,,,,,,,,,,,,,,,,,,
1977010693460443151,1977010693460443151,"Today I met with PM @narendramodi to discuss Anthropic's expansion to India—where Claude Code use is up 5× since June. How India deploys AI across critical sectors like education, healthcare, and agriculture for over a billion people will be essential in shaping the future of AI. https://t.co/rt0baeqEeC",,,,,,2025-10-11T13:57:35,,9622,461,812,,narendramodi,2025-10-11 13:57:35,False,0,True,,,,,,,,,,,,,,,,,,,,
1915515160607023391,1915515160607023391,The Urgency of Interpretability: Why it's crucial that we understand how AI models work https://t.co/Mz8R23uxgy,,,,,,2025-04-24T21:16:17,,3571,361,596,,,2025-04-24 21:16:17,False,0,True,,,,,,,,,,,,,,,,,,,,
1884636410839535967,1884636410839535967,"My thoughts on China, export controls and two possible futures https://t.co/LZAANEcZJW",,,,,,2025-01-29T16:15:09,,6303,1257,1108,,,2025-01-29 16:15:09,False,0,True,,,,,,,,,,,,,,,,,,,,
