id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
2077507813241418226,2077507813241418226,"RT @Oaktree: Oaktree Co-Chairman @HowardMarksBook joined the @myfirstmilpod with @theSamParr and @ShaanVP to discuss career advice, investi…",,,,,,2026-07-15T21:37:15,,0,0,7,,Oaktree HowardMarksBook myfirstmilpod theSamParr ShaanVP,2026-07-15 21:37:15,False,0,True,,,,,,,,,,,,,,,,,,,,
2066528290631033115,2066528290631033115,Howard Marks joined @Edels0n and @ProfGalloway on @ProfGMarkets podcast for a wide-ranging conversation about assessing risk amid uncertainty and navigating a world shaped by technological change. Watch/Listen: https://t.co/M2IUF1bg7Z,,,,,,2026-06-15T14:28:33,,112,34,19,,Edels0n ProfGalloway ProfGMarkets,2026-06-15 14:28:33,False,0,True,,,,,,,,,,,,,,,,,,,,
2047403932633166102,2047403932633166102,"RT @SquawkCNBC: “There isn’t a systemic problem with private credit,” says @HowardMarksBook of @Oaktree. https://t.co/EzL32lQbck",,,,,,2026-04-23T19:55:11,,0,0,34,,SquawkCNBC HowardMarksBook Oaktree,2026-04-23 19:55:11,False,0,True,,,,,,,,,,,,,,,,,,,,
2042321349587193881,2042321349587193881,"RT @Oaktree: In his latest memo, @HowardMarksBook examines the evolution of sub-investment grade credit, focusing on the rise of direct len…",,,,,,2026-04-09T19:18:48,,0,0,19,,Oaktree HowardMarksBook,2026-04-09 19:18:48,False,0,True,,,,,,,,,,,,,,,,,,,,
2039018223966785841,2039018223966785841,RT @Oaktree: ICYMI: @HowardMarksBook shares his reflections on themes from Oaktree’s recent client conference in the latest episode of The…,,,,,,2026-03-31T16:33:22,,0,0,10,,Oaktree HowardMarksBook,2026-03-31 16:33:22,False,0,True,,,,,,,,,,,,,,,,,,,,
2036471737202704723,2036471737202704723,"RT @Oaktree: In the latest episode of The Insight: Conversations, @HowardMarksBook shares his reflections on themes from Oaktree’s recent c…",,,,,,2026-03-24T15:54:32,,0,0,13,,Oaktree HowardMarksBook,2026-03-24 15:54:32,False,0,True,,,,,,,,,,,,,,,,,,,,
2027082323360178339,2027082323360178339,"RT @Oaktree: In his latest memo, @HowardMarksBook revisits the subject of AI, providing his observations on its essence; immense power, spe…",,,,,,2026-02-26T18:04:21,,0,0,49,,Oaktree HowardMarksBook,2026-02-26 18:04:21,False,0,True,,,,,,,,,,,,,,,,,,,,
2001380432794062882,2001380432794062882,"RT @Oaktree: ICYMI: @HowardMarksBook recently joined @Bloomberg Surveillance to discuss #AI and his latest memo, Is It a Bubble? Read the…",,,,,,2025-12-17T19:54:13,,0,0,21,AI,Oaktree HowardMarksBook Bloomberg,2025-12-17 19:54:13,False,0,True,,,,,,,,,,,,,,,,,,,,
1999533247361900776,1999533247361900776,RT @Oaktree: Listen to the latest memo from @HowardMarksBook to hear more about the importance of prudence and selectivity in navigating th…,,,,,,2025-12-12T17:34:10,,0,0,32,,Oaktree HowardMarksBook,2025-12-12 17:34:10,False,0,True,,,,,,,,,,,,,,,,,,,,
1998432856696074310,1998432856696074310,"RT @Oaktree: In his latest memo, @HowardMarksBook addresses the question, “Is there a bubble in AI?” He assesses the current landscape, dra…",,,,,,2025-12-09T16:41:36,,0,0,91,,Oaktree HowardMarksBook,2025-12-09 16:41:36,False,0,True,,,,,,,,,,,,,,,,,,,,
1986472791239979254,1986472791239979254,"RT @Oaktree: In his latest memo, @HowardMarksBook examines the recent string of well-publicized credit problems, emphasizing why it’s essen…",,,,,,2025-11-06T16:36:34,,0,0,31,,Oaktree HowardMarksBook,2025-11-06 16:36:34,False,0,True,,,,,,,,,,,,,,,,,,,,
1986422243434607012,1986422243434607012,RT @Oaktree: @HowardMarksBook joined Emily Chan Tan on @CNBCi to discuss how he views #privatecredit compared to public credit at current…,,,,,,2025-11-06T13:15:43,,0,0,12,privatecredit,Oaktree HowardMarksBook CNBCi,2025-11-06 13:15:43,False,0,True,,,,,,,,,,,,,,,,,,,,
1985702769941008433,1985702769941008433,RT @Oaktree: Listen to the latest memo from @HowardMarksBook to hear his thoughts on topics he considers “the most important thing.” #Oaktr…,,,,,,2025-11-04T13:36:47,,0,0,17,Oaktr…,Oaktree HowardMarksBook,2025-11-04 13:36:47,False,0,True,,,,,,,,,,,,,,,,,,,,
1983555866516496421,1983555866516496421,RT @WilfredFrost: I highly recommend my conversation with @HowardMarksBook of @Oaktree - 50 years of investment wisdom and views on the cur…,,,,,,2025-10-29T15:25:45,,0,0,16,,WilfredFrost HowardMarksBook Oaktree,2025-10-29 15:25:45,False,0,True,,,,,,,,,,,,,,,,,,,,
1983191027486994507,1983191027486994507,"RT @Oaktree: In his latest memo, @HowardMarksBook explores key topics covered during his meeting with a state pension fund's board and cons…",,,,,,2025-10-28T15:16:01,,0,0,23,,Oaktree HowardMarksBook,2025-10-28 15:16:01,False,0,True,,,,,,,,,,,,,,,,,,,,
1980334911606386964,1980334911606386964,"RT @Oaktree: In celebration of the 35th anniversary of @HowardMarksBook's memos, we released the first and only complete collection of all…",,,,,,2025-10-20T18:06:50,,0,0,49,,Oaktree HowardMarksBook,2025-10-20 18:06:50,False,0,True,,,,,,,,,,,,,,,,,,,,
1978873244129075343,1978873244129075343,"RT @Oaktree: To celebrate the 35th anniversary of his memos, @HowardMarksBook recently held a fireside chat for Oaktree employees. Listen t…",,,,,,2025-10-16T17:18:41,,0,0,11,,Oaktree HowardMarksBook,2025-10-16 17:18:41,False,0,True,,,,,,,,,,,,,,,,,,,,
1978155177094861203,1978155177094861203,"RT @Oaktree: To celebrate 35 years of @HowardMarksBook’s memos, we’re excited to release The Best of . . . , a curated collection of the me…",,,,,,2025-10-14T17:45:21,,0,0,62,,Oaktree HowardMarksBook,2025-10-14 17:45:21,False,0,True,,,,,,,,,,,,,,,,,,,,
1977823689543705022,1977823689543705022,RT @CNBC: Howard Marks reflects on 35 years of writing market memos loved by Buffett and others on Wall Street https://t.co/lxl79GFbez,,,,,,2025-10-13T19:48:08,,0,0,20,,CNBC,2025-10-13 19:48:08,False,0,True,,,,,,,,,,,,,,,,,,,,
1973065550365360246,1973065550365360246,"RT @Oaktree: Oaktree experts consider the current risks and opportunities in asset classes such as opportunistic credit, real estate, and m…",,,,,,2025-09-30T16:40:59,,0,0,6,,Oaktree,2025-09-30 16:40:59,False,0,True,,,,,,,,,,,,,,,,,,,,
1965585019134706165,1965585019134706165,"RT @ppforumca: 🎙️ Season 3 of WONK is here! 🎉 We’re kicking things off with a big one: legendary investor @HowardMarksBook, co-founder of…",,,,,,2025-09-10T01:16:02,,0,0,5,,ppforumca HowardMarksBook,2025-09-10 01:16:02,False,0,True,,,,,,,,,,,,,,,,,,,,
1963713084796854618,1963713084796854618,"RT @myfirstmilpod: “A lot of people say, ‘we’re not going to try to catch a falling knife.’ And I believe you make the big money catching…",,,,,,2025-09-04T21:17:38,,0,0,55,,myfirstmilpod,2025-09-04 21:17:38,False,0,True,,,,,,,,,,,,,,,,,,,,
1960757663106785353,1960757663106785353,RT @Oaktree: The contractual nature of credit returns may be increasingly compelling given the backdrop of macroeconomic uncertainty and st…,,,,,,2025-08-27T17:33:50,,0,0,9,,Oaktree,2025-08-27 17:33:50,False,0,True,,,,,,,,,,,,,,,,,,,,
1958209079211589685,1958209079211589685,"RT @BloombergTV: Howard Marks, co-chairman at Oaktree Capital Management, says he finds stocks expensive “relative to what I call fundament…",,,,,,2025-08-20T16:46:40,,0,0,37,,BloombergTV,2025-08-20 16:46:40,False,0,True,,,,,,,,,,,,,,,,,,,,
1957517389807210816,1957517389807210816,RT @Oaktree: Listen to the latest memo from @HowardMarksBook to hear his assessment of the critical relationship between price and value. #…,,,,,,2025-08-18T18:58:09,,0,0,16,…,Oaktree HowardMarksBook,2025-08-18 18:58:09,False,0,True,,,,,,,,,,,,,,,,,,,,
