id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
2086919041852268992,2086919041852268992,that's the problem he should've sent them in all caps https://t.co/zqNe1FPI7I,,,,,,2026-08-10T20:54:07,,90,3,2,,,2026-08-10 20:54:07,False,0,True,,,,,,,,,,,,,,,,,,,,
2086293864034496652,2086293864034496652,"why don't model providers price tokens like electricity, higher price during peak hours and cheaper off peak?",,,,,,2026-08-09T03:29:53,,2251,406,38,,,2026-08-09 03:29:53,False,0,True,,,,,,,,,,,,,,,,,,,,
2085101321854894239,2085101321854894239,Auto science is gonna be 🔥 Congrats anh Quoc and team!,,,,,,2026-08-05T20:31:09,,101,2,2,,,2026-08-05 20:31:09,False,0,True,,,,,,,,,,,,,,,,,,,,
2077462910033703347,2077462910033703347,"RT @miramurati: Our first model, Inkling. Trained from scratch, weights are open, fine-tunable on Tinker today.",,,,,,2026-07-15T18:38:49,,0,0,1107,,miramurati,2026-07-15 18:38:49,False,0,True,,,,,,,,,,,,,,,,,,,,
2062926999405105334,2062926999405105334,bored at the airport so i made this https://t.co/kh4iB0poIj https://t.co/eWErgOm9VF,,,,,,2026-06-05T15:58:18,,128,29,16,,,2026-06-05 15:58:18,False,0,True,,,,,,,,,,,,,,,,,,,,
2047404818516615633,2047404818516615633,Congrats to @AlecRad @Luke_Metz and @soumithchintala! It's really cool to see work produced by a group of 20-somethings without a single PhD between them winning this award. I hope to see these three collaborate again one day :),,,,,,2026-04-23T19:58:42,,120,2,15,,AlecRad Luke_Metz soumithchintala,2026-04-23 19:58:42,False,0,True,,,,,,,,,,,,,,,,,,,,
2036094960009965823,2036094960009965823,RT @neetcode1: Got to meet the wonderful Chip Huyen @chipro She’s so nice and smart!! https://t.co/IKqfmUeVMJ,,,,,,2026-03-23T14:57:21,,0,0,13,,neetcode1 chipro,2026-03-23 14:57:21,False,0,True,,,,,,,,,,,,,,,,,,,,
2032473137917624713,2032473137917624713,RT @karinanguyen: Excited to release PostTrainBench v1.0! This benchmark evaluates the ability of frontier AI agents to post-train langua…,,,,,,2026-03-13T15:05:32,,0,0,99,,karinanguyen,2026-03-13 15:05:32,False,0,True,,,,,,,,,,,,,,,,,,,,
2021407451715862770,2021407451715862770,"For those that chose Never, what do you do?",,,,,,2026-02-11T02:14:27,,31,41,1,,,2026-02-11 02:14:27,False,0,True,,,,,,,,,,,,,,,,,,,,
2021406920662540752,2021406920662540752,How long do you think AI will be able to fully automate your job?,,,,,,2026-02-11T02:12:20,,52,19,6,,,2026-02-11 02:12:20,False,0,True,,,,,,,,,,,,,,,,,,,,
2016989970058371305,2016989970058371305,"Comparing the AI open source ecosystem in the US, China, Europe, and the rest of Asia over time https://t.co/XFUgGoYKlY",,,,,,2026-01-29T21:40:57,,31,2,7,,,2026-01-29 21:40:57,False,0,True,,,,,,,,,,,,,,,,,,,,
2016989494927643100,2016989494927643100,"I built https://t.co/bOvxGXFufI to help me stay-up-date with new AI stuff. It's tracking 14K open source repos so far, with contributions from over 145K developers. Every day, it: - searches for new AI repos (based on 123 keywords and topics) - surfaces repos that are gaining https://t.co/jiuILCzmwT",,,,,,2026-01-29T21:39:04,,248,17,45,,,2026-01-29 21:39:04,False,0,True,,,,,,,,,,,,,,,,,,,,
2011485105081237618,2011485105081237618,"Super impressed by the projects at the Agentic Hackathon last weekend! Many teams work on really hard/important problems: * Long running tasks: memory management, recovering from mid-task failures, and maintaining consistency across steps and sub-agents * Adaptive retrieval https://t.co/OlXpO1pNXd",,,,,,2026-01-14T17:06:35,,90,7,10,,,2026-01-14 17:06:35,False,0,True,,,,,,,,,,,,,,,,,,,,
1996406670071943299,1996406670071943299,OMG there's a bookstore dedicated to technical books in Taipei! https://t.co/L0p6UBcats,,,,,,2025-12-04T02:30:16,,2059,53,88,,,2025-12-04 02:30:16,False,0,True,,,,,,,,,,,,,,,,,,,,
1989404678900350997,1989404678900350997,Sam!!! https://t.co/OgRT45pYRQ,,,,,,2025-11-14T18:46:51,,10299,188,189,,,2025-11-14 18:46:51,False,0,True,,,,,,,,,,,,,,,,,,,,
1983975901454111026,1983975901454111026,"After years of following @lennysan's wonderful takes on product, I finally had the opportunity to chat with him about AI products! https://t.co/z76MEb68Go 1. Many AI product problems aren’t because of AI. It’s usually because of user experience, data quality, or organizational",,,,,,2025-10-30T19:14:50,,224,9,23,,lennysan,2025-10-30 19:14:50,False,0,True,,,,,,,,,,,,,,,,,,,,
1981026306021072909,1981026306021072909,A hiring manager just told me that it's a red flag 🚩 if a software engineering candidate hasn't experimented with vibe coding. Thoughts?,,,,,,2025-10-22T15:54:11,,49,14,5,,,2025-10-22 15:54:11,False,0,True,,,,,,,,,,,,,,,,,,,,
1952495022114517444,1952495022114517444,"this seems to have reached a corner of the internet that my innocent soul wasn't ready for. ""why do you hate em dashes so much?"" this isn't about punctuation. this is about getting AI to follow simple instructions ""what model was it?"" 4o ""why not use a thinking model? it works",,,,,,2025-08-04T22:21:03,,163,27,0,,,2025-08-04 22:21:03,False,0,True,,,,,,,,,,,,,,,,,,,,
1952131790061326593,1952131790061326593,$100 for anyone who can show me how to get ChatGPT to stop using emdashes. it's driving me insane https://t.co/cr7t0PMIor,,,,,,2025-08-03T22:17:42,,8766,1297,217,,,2025-08-03 22:17:42,False,0,True,,,,,,,,,,,,,,,,,,,,
1950577830108299505,1950577830108299505,"13 years. 6 books. All metrics are flawed, but it still makes me happy to see this. I love writing, and I hope to improve at it over time. https://t.co/OwxdElJTWo",,,,,,2025-07-30T15:22:49,,465,28,5,,,2025-07-30 15:22:49,False,0,True,,,,,,,,,,,,,,,,,,,,
1948411438680490058,1948411438680490058,"Manus AI Manus AI chose to focus on context engineering rather than developing models. If you were to start an agentic company today, which would you invest in?",,,,,,2025-07-24T15:54:21,,29,7,3,,,2025-07-24 15:54:21,False,0,True,,,,,,,,,,,,,,,,,,,,
1948410193056072164,1948410193056072164,"3. Dynamic few shot prompting They cautioned against using the traditional few shot prompting for agents. Seeing the same few examples again and again will cause the agent to overfit to these examples. Ex: if you ask the agent to process a batch of 20 resumes, and one example https://t.co/IWuthbmGkE",,,,,,2025-07-24T15:49:24,,36,2,2,,,2025-07-24 15:49:24,False,0,True,,,,,,,,,,,,,,,,,,,,
1948409587813720274,1948409587813720274,"Very useful tips on tool use and memory from Manus's context engineering blog post. Key takeaways. 1. Reversible compact summary Most models allow 128K context, which can easily fill up after a few turns when working with data like PDFs or web pages. When the context gets https://t.co/E2B4frjEVw",,,,,,2025-07-24T15:47:00,,695,4,50,,,2025-07-24 15:47:00,False,0,True,,,,,,,,,,,,,,,,,,,,
1947335669879345334,1947335669879345334,"I’m slowly beginning to accept that my productivity, when working with AI coding agents, is limited by my human brain. AI can do many tasks in parallel, but I can only track the context of a few, so I only run a few tasks at a time. I am the bottleneck.",,,,,,2025-07-21T16:39:38,,2283,190,173,,,2025-07-21 16:39:38,False,0,True,,,,,,,,,,,,,,,,,,,,
1945528817826894310,1945528817826894310,"4. Sniffly also allows me to walk through all my previous instructions and model’s responses, and I can also share them with my collaborators if needed. Sniffly is open-sourced and can be used without installation uvx sniffly@latest init GitHub: https://t.co/9JAcxX3K0X",,,,,,2025-07-16T16:59:51,,145,6,11,,latest,2025-07-16 16:59:51,False,0,True,,,,,,,,,,,,,,,,,,,,
1945528675459633559,1945528675459633559,"3. While most of the time, Claude Code can only go up to 10 steps before I need to interrupt it, it can occasionally go close to 100 steps. Just a year ago, people told me it was hard to get an agent to go above 5 steps! Claude Code’s favorite tools are, unsurprisingly, search https://t.co/p4fcfnOAxs",,,,,,2025-07-16T16:59:17,,52,1,0,,,2025-07-16 16:59:17,False,0,True,,,,,,,,,,,,,,,,,,,,
1945527700808184115,1945527700808184115,"I open sourced Sniffly, a tool that analyzes Claude Code logs to help me understand my usage patterns and errors. Key learnings. 1. The biggest type of errors Claude Code made is Content Not Found (20 - 30%). It tries to find files or functions that don't exist. So I https://t.co/nxcjMcjR9C",,,,,,2025-07-16T16:55:24,,1200,45,125,,,2025-07-16 16:55:24,False,0,True,,,,,,,,,,,,,,,,,,,,
1945260236022886872,1945260236022886872,RT @miramurati: Thinking Machines Lab exists to empower humanity through advancing collaborative general intelligence. We're building mult…,,,,,,2025-07-15T23:12:36,,0,0,674,,miramurati,2025-07-15 23:12:36,False,0,True,,,,,,,,,,,,,,,,,,,,
1933905211308835092,1933905211308835092,"I asked Claude Code to fix my bug and it just refused lol ""Your app is working fine. This is a minor issue that doesn't break core functionality."" https://t.co/XiAiID8xjZ",,,,,,2025-06-14T15:11:47,,958,66,35,,,2025-06-14 15:11:47,False,0,True,,,,,,,,,,,,,,,,,,,,
1916216797529051557,1916216797529051557,I think I might've accidentally jailbreak-ed Claude. I asked Claude to craft a conversation between two characters for a story I'm writing and they suddenly started reciting Claude's system instructions. https://t.co/fmbilFhR7n,,,,,,2025-04-26T19:44:20,,753,26,58,,,2025-04-26 19:44:20,False,0,True,,,,,,,,,,,,,,,,,,,,
1902458006308319396,1902458006308319396,omg thank you jensen,,,,,,2025-03-19T20:31:49,,211,6,2,,,2025-03-19 20:31:49,False,0,True,,,,,,,,,,,,,,,,,,,,
1891925775915631091,1891925775915631091,"Finally!!! An AI frontier lab run by adults. Congrats to @miramurati, @johnschulman2, @barret_zoph, @Luke_Metz, and the rest of the stellar team! Fingers crossed for less AGI and more cool products 🙏",,,,,,2025-02-18T19:00:29,,761,12,28,,miramurati johnschulman2 barret_zoph Luke_Metz,2025-02-18 19:00:29,False,0,True,,,,,,,,,,,,,,,,,,,,
1881050951072821547,1881050951072821547,RT @karinanguyen: Highly recommend this book by @chipro esp. for product designers / software engineers who want to learn about model trai…,,,,,,2025-01-19T18:47:49,,0,0,97,,karinanguyen chipro,2025-01-19 18:47:49,False,0,True,,,,,,,,,,,,,,,,,,,,
1880007930302591241,1880007930302591241,"Wrote a quick note (with examples) of common pitfalls that I’ve seen, both from public case studies and from my personal experience. https://t.co/nkcoVdFMf8 Would love to hear from your experience about the pitfalls you've seen! https://t.co/Bb6dkTBCyr",,,,,,2025-01-16T21:43:14,,283,8,36,,,2025-01-16 21:43:14,False,0,True,,,,,,,,,,,,,,,,,,,,
1879297941611171941,1879297941611171941,Script to generate this heatmap: https://t.co/Fzfr69ljlF,,,,,,2025-01-14T22:41:59,,146,3,6,,,2025-01-14 22:41:59,False,0,True,,,,,,,,,,,,,,,,,,,,
1879297696189817111,1879297696189817111,I'm using AI so much for work that I can tell how productive I am by how many conversations I've had with AI. https://t.co/fHnt7ooDdy,,,,,,2025-01-14T22:41:01,,1303,35,57,,,2025-01-14 22:41:01,False,0,True,,,,,,,,,,,,,,,,,,,,
1877389078251057486,1877389078251057486,Finally got my copy! “AI Engineering” is officially out 🙏 🎉 https://t.co/8aei7cOlpo,,,,,,2025-01-09T16:16:51,,6220,217,384,,,2025-01-09 16:16:51,False,0,True,,,,,,,,,,,,,,,,,,,,
1876681640505901266,1876681640505901266,My 8000-word note on agents: https://t.co/x5IzSUwO5b Covering: 1. An overview of agents 2. How the capability of an AI-powered agent is determined by the set of tools it has access to and its capability for planning 3. How to select the best set of tools for your agent 4.,,,,,,2025-01-07T17:25:44,,2852,64,457,,,2025-01-07 17:25:44,False,0,True,,,,,,,,,,,,,,,,,,,,
1867415382602170647,1867415382602170647,"During the process of writing AI Engineering, I went through so many papers, case studies, blog posts, repos, tools, etc. This repo contains ~100 resources that really helped me understand various aspects of building with foundation models. https://t.co/5bjO19q655 Here are the",,,,,,2024-12-13T03:44:56,,1483,31,233,,,2024-12-13 03:44:56,False,0,True,,,,,,,,,,,,,,,,,,,,
1864384749911065035,1864384749911065035,"It’s done! 150,000 words, 200+ illustrations, 250 footnotes, and over 1200 reference links. My editor just told me the manuscript has been sent to the printers. - The ebook will be coming out later this week. - Paperback copies should be available in a few weeks (hopefully https://t.co/i8g2jvRc0D",,,,,,2024-12-04T19:02:17,,5701,170,574,,,2024-12-04 19:02:17,False,0,True,,,,,,,,,,,,,,,,,,,,
1816521492760580127,1816521492760580127,"Building a platform for generative AI applications https://t.co/zcKebaJ7SU After studying how companies deploy generative AI applications, I noticed many similarities in their platforms. This post outlines these common components, what they do, and implementation https://t.co/M5lik70z1M",,,,,,2024-07-25T17:10:47,,1253,18,230,,,2024-07-25 17:10:47,False,0,True,,,,,,,,,,,,,,,,,,,,
1806023894878539923,1806023894878539923,"3. Hallucinations make GenAI applications unusable Models hallucinate because they are probabilistic. However, a model is much more likely to hallucinate when it doesn’t have access to the right information. Multiple studies have shown that hallucinations can be",,,,,,2024-06-26T17:57:05,,94,4,6,,,2024-06-26 17:57:05,False,0,True,,,,,,,,,,,,,,,,,,,,
