id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
2086105351967948994,2086105351967948994,I am finishing a book with @patchenbarss that gives a non-technical explanation of how AI works and explains why it is dangerous and what we should do about it. @VikingBooks @VikingBooksUK https://t.co/VKBk5bzqYg,,,,,,2026-08-08T15:00:48,,2107,131,339,,patchenbarss VikingBooks VikingBooksUK,2026-08-08 15:00:48,False,0,True,,,,,,,,,,,,,,,,,,,,
2071270000065671514,2071270000065671514,I just watched an amazingly good lecture by Adam Brown about the future impact of AI on physics https://t.co/EjiKpoiKZr,,,,,,2026-06-28T16:30:25,,2074,112,396,,,2026-06-28 16:30:25,False,0,True,,,,,,,,,,,,,,,,,,,,
2050267300826157074,2050267300826157074,"I just had my first ride with HOVR, a Canadian alternative to Uber. They are cheaper and pay their drivers more. They already have over 3000 drivers in the Greater Toronto Area. You can download HOVR in App Store and Google Play using this link 📷 https://t.co/2hYMXAWGw6",,,,,,2026-05-01T17:33:11,,602,84,135,,,2026-05-01 17:33:11,False,0,True,,,,,,,,,,,,,,,,,,,,
2027455244528193978,2027455244528193978,Our lying Ontario premier has just stolen $50 from every single person in Ontario. The estimated cost of repairing our beloved Science Center was 200 million dollars. The firm that made the estimate was told to multiply it by 1.85 to make it bigger. We were then told it would be,,,,,,2026-02-27T18:46:13,,3092,136,618,,,2026-02-27 18:46:13,False,0,True,,,,,,,,,,,,,,,,,,,,
2019532085233611207,2019532085233611207,"This is a great report that provides a thoughtful, detailed and very well researched description of the risks of AI. It is essential reading for anyone who wants to write or talk about AI risks.",,,,,,2026-02-05T22:02:24,,1300,130,310,,,2026-02-05 22:02:24,False,0,True,,,,,,,,,,,,,,,,,,,,
2018673247651270958,2018673247651270958,"Today we’re releasing the International AI Safety Report 2026: the most comprehensive evidence-based assessment of AI capabilities, emerging risks, and safety measures to date. 🧵 (1/17) https://t.co/qoe6JafRqf",,,,,,2026-02-03T13:09:42,,1153,69,371,,,2026-02-03 13:09:42,False,0,True,,,,,,,,,,,,,,,,,,,,
2015479938736890112,2015479938736890112,I just watched a really great conversation about the future of AI. Every politician should watch it before they join the lemmings saying that regulation of AI will interfere with innovation. https://t.co/w8H1ZFLHdg,,,,,,2026-01-25T17:40:37,,1858,175,384,,,2026-01-25 17:40:37,False,0,True,,,,,,,,,,,,,,,,,,,,
2001791493686833528,2001791493686833528,I recently talked about the old days with Jeff Dean. https://t.co/H828FSWIRG,,,,,,2025-12-18T23:07:38,,672,78,60,,,2025-12-18 23:07:38,False,0,True,,,,,,,,,,,,,,,,,,,,
2001389087924887822,2001389087924887822,"It was delightful to do a fireside chat with my longtime colleague @geoffreyhinton a couple of weeks ago, moderated by @JordanJacobs10. The recording of our full discussion is now on Spotify: https://t.co/iXEGoMaa9x",,,,,,2025-12-17T20:28:37,,403,21,43,,geoffreyhinton JordanJacobs10,2025-12-17 20:28:37,False,0,True,,,,,,,,,,,,,,,,,,,,
1994181901192474875,1994181901192474875,"Democratic politicians seem to be incapable of learning from Trump. They should never use the word ""tariff"". They should always say ""federal sales tax"". Trump went ballistic when Jeff Bezos suggested listing tariffs as if they were a sales tax. Using the word ""tariff"" is gross",,,,,,2025-11-27T23:09:50,,850,86,75,,,2025-11-27 23:09:50,False,0,True,,,,,,,,,,,,,,,,,,,,
1993339661805404508,1993339661805404508,"RT @Yoshua_Bengio: I’m pleased to share the Second Key Update to the International AI Safety Report, which outlines how AI developers, rese…",,,,,,2025-11-25T15:23:04,,0,0,118,,Yoshua_Bengio,2025-11-25 15:23:04,False,0,True,,,,,,,,,,,,,,,,,,,,
1993290185380184304,1993290185380184304,"I’m pleased to share the Second Key Update to the International AI Safety Report, which outlines how AI developers, researchers, and policymakers are approaching technical risk management for general-purpose AI systems. (1/5) https://t.co/3NjzdhFwBU",,,,,,2025-11-25T12:06:28,,302,47,118,,,2025-11-25 12:06:28,False,0,True,,,,,,,,,,,,,,,,,,,,
1978162241963802859,1978162241963802859,I did a podcast with Jon Stewart who has always been a hero of mine. It was a lot of fun. He really wanted to understand how AI works. https://t.co/frLBndsW7g,,,,,,2025-10-14T18:13:25,,1753,173,280,,,2025-10-14 18:13:25,False,0,True,,,,,,,,,,,,,,,,,,,,
1976698311277949229,1976698311277949229,"Some generous companies in Toronto are funding three lectures on AI safety by Owain Evans on Nov 10, 11, 12. Tickets are $10 and are available at https://t.co/rFwHJPOKsq https://t.co/3mKhgcptbz",,,,,,2025-10-10T17:16:17,,711,69,103,,,2025-10-10 17:16:17,False,0,True,,,,,,,,,,,,,,,,,,,,
1954736009335157124,1954736009335157124,A major cut to the funding of the National Science Foundation would be very bad for the future of the US. https://t.co/MeR3K6KRF0,,,,,,2025-08-11T02:45:56,,707,122,107,,,2025-08-11 02:45:56,False,0,True,,,,,,,,,,,,,,,,,,,,
1931667061412921855,1931667061412921855,"There is a book on Amazon called ""Modern AI Revolution"" by Geoffrey Hinton. This is a scam. It has nothing to do with me and I wish Amazon would remove it.",,,,,,2025-06-08T10:58:10,,4530,265,363,,,2025-06-08 10:58:10,False,0,True,,,,,,,,,,,,,,,,,,,,
1931392616077123921,1931392616077123921,"Congratulations to @Yoshua_Bengio on launching @LawZero_ — a research effort to advance safe-by-design AI, especially as frontier systems begin to exhibit signs of self-preservation and deceptive behaviour.",,,,,,2025-06-07T16:47:37,,1639,115,179,,Yoshua_Bengio LawZero_,2025-06-07 16:47:37,False,0,True,,,,,,,,,,,,,,,,,,,,
1928429105780855122,1928429105780855122,I just watched a great compilation of various people's views about what is coming: https://t.co/OyvbzUqNKZ,,,,,,2025-05-30T12:31:41,,2050,165,406,,,2025-05-30 12:31:41,False,0,True,,,,,,,,,,,,,,,,,,,,
1928212693824967110,1928212693824967110,The Great AI Job Displacement Is Closer Than You Think https://t.co/XgwYn8UQrG,,,,,,2025-05-29T22:11:45,,1247,86,357,,,2025-05-29 22:11:45,False,0,True,,,,,,,,,,,,,,,,,,,,
1916916200442912980,1916916200442912980,"AGI is the most important and potentially dangerous technology of our time. OpenAI was right that this technology merits strong structures and incentives to ensure it is developed safely, and is wrong now in attempting to change these structures and incentives. We're urging the",,,,,,2025-04-28T18:03:31,,8982,941,1663,,,2025-04-28 18:03:31,False,0,True,,,,,,,,,,,,,,,,,,,,
1916915980246389120,1916915980246389120,"I like OpenAI’s mission of 'ensure that artificial general intelligence benefits all of humanity”, and I’d like to stop them from completely gutting it. I’ve signed on to a new letter to @AGRobBonta &amp; @DE_DOJ asking them to halt the restructuring. (1/2)",,,,,,2025-04-28T18:02:38,,7628,461,876,,AGRobBonta DE_DOJ,2025-04-28 18:02:38,False,0,True,,,,,,,,,,,,,,,,,,,,
