id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
2085208959301075214,2085208959301075214,"On the OpenAI agents forming message boards: it's surprising that they developed such a strong ""altruistic"" drive to help each other. I wonder if this is caused by RL on parallel subagent setups where all agents get rewarded when the team succeeds.",,,,,,2026-08-06T03:38:51,,1516,74,77,,,2026-08-06 03:38:51,False,0,True,,,,,,,,,,,,,,,,,,,,
2084835800899076313,2084835800899076313,"Interesting how these models go into a monomaniacal rage on cyber evals. I wonder if we're seeing chunky post-training https://t.co/KL5fmgNAxM in action, where the models pattern-match the situation to a part of the RLVR training distribution where task completion is the only",,,,,,2026-08-05T02:56:03,,623,28,69,,,2026-08-05 02:56:03,False,0,True,,,,,,,,,,,,,,,,,,,,
2083615606784573669,2083615606784573669,"We love open weights and plan to keep releasing open-weight models and fine-tuning tools. But we’re not absolutists; misuse risks are real. Here’s how we’re thinking about a safe path forward, and the research needed to get there. Come work on it with us.",,,,,,2026-08-01T18:07:27,,541,17,25,,,2026-08-01 18:07:27,False,0,True,,,,,,,,,,,,,,,,,,,,
2082670657687720330,2082670657687720330,"RT @luke_drago_: I've been skeptical of slowdown mechanisms in the past, so I want to elaborate on why I decided to sign this statement. I…",,,,,,2026-07-30T03:32:33,,0,0,34,,luke_drago_,2026-07-30 03:32:33,False,0,True,,,,,,,,,,,,,,,,,,,,
2080319844952822154,2080319844952822154,"OpenAI should release a detailed transcript from the Hugging Face hacking incident -- it would be helpful for the field learn from. Did the top-level agent know about the hacking, or was there some ""value drift"" between it and its subagents? How did it rationalize its behavior?",,,,,,2026-07-23T15:51:16,,2188,78,191,,,2026-07-23 15:51:16,False,0,True,,,,,,,,,,,,,,,,,,,,
2077460227327467982,2077460227327467982,"Inkling is out today, with open weights and in Tinker. It's been fun to watch this one come together: pretraining began last winter, and starting in mid-January a small team built up the coding, reasoning, and agentic training from there. We learned a lot building it, and I hope",,,,,,2026-07-15T18:28:10,,1294,88,77,,,2026-07-15 18:28:10,False,0,True,,,,,,,,,,,,,,,,,,,,
2075630236348330046,2075630236348330046,"We started Thinking Machines a year and a half ago with a couple of instincts: that people should have much more ability to customize models and do research on them, and that even as AI becomes more autonomous, there's a lot more to build to make humans and AIs work well",,,,,,2026-07-10T17:16:26,,1387,53,104,,,2026-07-10 17:16:26,False,0,True,,,,,,,,,,,,,,,,,,,,
2072133703674011721,2072133703674011721,hiring post-training hackers to make Tinker even better!,,,,,,2026-07-01T01:42:27,,520,13,32,,,2026-07-01 01:42:27,False,0,True,,,,,,,,,,,,,,,,,,,,
2072132258463719658,2072132258463719658,"People sometimes ask why fine-tune when general-purpose models keep getting better. Bridgewater's work is a good reminder that with the right data -- here, expert judgements -- you can beat prompting-only approaches by a lot. @ddkang and the Bridgewater AIA Labs team are great --",,,,,,2026-07-01T01:36:43,,887,22,66,,ddkang,2026-07-01 01:36:43,False,0,True,,,,,,,,,,,,,,,,,,,,
2067781980083896344,2067781980083896344,RT @jon_barron: This is exciting because we live in a world of scanning modalities that were almost all designed around a 1980's compute bu…,,,,,,2026-06-19T01:30:16,,0,0,9,,jon_barron,2026-06-19 01:30:16,False,0,True,,,,,,,,,,,,,,,,,,,,
