id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
2081906054821302344,2081906054821302344,"I've always been a curiosity-driven person. Leaning new knowledge or figuring out how to solve problems that are not well defined often gives me simple joy. The fun part of being a cofounder is how it ""forced"" me to develop new perspectives on company strategies, team building",,,,,,2026-07-28T00:54:18,,586,9,14,,,2026-07-28 00:54:18,False,0,True,,,,,,,,,,,,,,,,,,,,
2081816923088814421,2081816923088814421,It is a hard and sad decision. I shared this message with folks at Thinky. Thank you all for the time together♥️ Just as the last sentence in my message: The future worth building is human. https://t.co/VGb5fM5chX,,,,,,2026-07-27T19:00:07,,9049,375,221,,,2026-07-27 19:00:07,False,0,True,,,,,,,,,,,,,,,,,,,,
2077493264509460757,2077493264509460757,RT @brhydon: yap at it,,,,,,2026-07-15T20:39:26,,0,0,28,,brhydon,2026-07-15 20:39:26,False,0,True,,,,,,,,,,,,,,,,,,,,
2077471903032528912,2077471903032528912,"Inkling is our open weights model. It aims to serve as a foundation with solid performance across a broad categories of capabilities, for use in practice and customization. Play it on Tinker! 😄",,,,,,2026-07-15T19:14:33,,1447,39,60,,,2026-07-15 19:14:33,False,0,True,,,,,,,,,,,,,,,,,,,,
2074372369213428144,2074372369213428144,"new post on harness engineering for AI self-improvement: https://t.co/XNCycrAZbM It is hard to forecast how much the future of RSI will rely on harnesses. Likely harness engineering will evolve in the direction of self-improvement and enable auto-research, and, in turn, smarter",,,,,,2026-07-07T05:58:07,,5367,117,786,,,2026-07-07 05:58:07,False,0,True,,,,,,,,,,,,,,,,,,,,
2070240252988629313,2070240252988629313,Soon I should set up the model to update Lil’Log automatically but I’m not there yet.,,,,,,2026-06-25T20:18:34,,88,7,2,,,2026-06-25 20:18:34,False,0,True,,,,,,,,,,,,,,,,,,,,
2070239863203623369,2070239863203623369,"I wonder how many more people will just ask model to summarize the post, in comparison to a year ago. 😂",,,,,,2026-06-25T20:17:01,,157,16,1,,,2026-06-25 20:17:01,False,0,True,,,,,,,,,,,,,,,,,,,,
2070237256070389897,2070237256070389897,"A super long overdue (3+ years?) post on scaling laws. Compute is expensive. Scaling laws are a way to help us reason about the optimal compute allocation between data and model size before committing to a large run. The post covers what scaling laws predict, how",,,,,,2026-06-25T20:06:39,,4683,68,590,,,2026-06-25 20:06:39,False,0,True,,,,,,,,,,,,,,,,,,,,
2056792244083191829,2056792244083191829,We would love to see more collaboration and research in the field of human-AI interactivity. Check it out!,,,,,,2026-05-19T17:40:58,,450,28,25,,,2026-05-19 17:40:58,False,0,True,,,,,,,,,,,,,,,,,,,,
2056177479782658363,2056177479782658363,"I only recently read more about the concept of system accidents by Charles Perrow, very insightful and relatable.",,,,,,2026-05-18T00:58:07,,450,30,12,,,2026-05-18 00:58:07,False,0,True,,,,,,,,,,,,,,,,,,,,
